Student_ID,10th_Percentage,12th_Percentage,CGPA,Entrance_Score,Interview_Score,Aptitude_Score,Extracurricular_Score,Attendance,Previous_Backlogs,Eligible
STU_1071,90.02,88.44,8.78,82.93,60.29,66.72,51.79,96.38,0,1
STU_1072,81.46,77.24,8.13,79.73,67.64,75.05,59.59,79.24,3,0
STU_1073,90.32,84.63,8.63,67.95,48.07,60.01,49.61,92.83,0,0
STU_1074,90.0,90.83,8.93,68.54,88.01,69.44,63.41,84.34,0,1
STU_1075,77.4,79.94,8.99,95.75,69.77,82.17,80.72,97.43,0,1
STU_1076,82.06,84.32,8.42,59.9,77.39,68.03,37.29,86.62,0,0
STU_1077,78.98,81.44,7.77,78.63,85.6,78.75,43.64,94.73,0,1
STU_1078,98.42,95.59,9.19,89.74,69.02,72.8,32.84,82.37,0,1
STU_1079,70.86,76.23,8.14,58.07,76.17,71.79,63.11,80.77,0,1
STU_1080,69.69,70.35,6.93,67.89,76.82,73.31,72.07,85.2,0,0
STU_1081,84.89,87.02,8.41,81.35,65.97,83.88,48.61,84.89,2,0
STU_1082,86.28,84.22,7.53,67.46,59.23,55.84,45.89,92.96,0,1
STU_1083,74.22,80.31,8.44,68.81,78.69,71.69,41.7,85.33,0,1
STU_1084,80.03,84.16,8.44,78.07,64.82,83.76,36.12,92.89,3,0
STU_1085,85.58,80.68,7.72,70.82,79.15,72.62,70.53,96.8,0,1
STU_1086,85.96,85.53,7.64,68.89,56.77,72.78,48.21,92.61,0,1
STU_1087,83.26,83.7,8.56,77.02,74.71,63.19,56.83,89.13,0,1
STU_1088,90.55,88.05,8.2,62.52,86.43,68.56,83.16,88.47,3,0
STU_1089,82.61,80.07,8.55,59.61,80.48,67.7,52.87,92.9,1,0
STU_1090,82.23,86.54,8.9,80.42,71.63,79.32,62.33,93.9,2,1
STU_1091,79.2,82.16,8.29,76.04,69.64,60.88,90.82,86.74,1,0
STU_1092,81.01,84.22,8.58,61.43,73.36,54.76,64.5,94.33,0,0
STU_1093,83.11,79.42,8.68,78.39,70.09,60.77,38.67,88.95,0,1
STU_1094,89.18,84.36,7.92,65.09,72.65,62.91,39.86,92.88,2,0
STU_1095,86.17,85.68,8.44,90.8,70.04,78.16,77.54,91.42,0,1
STU_1096,87.82,88.67,7.88,59.97,87.91,57.77,57.31,95.38,0,0
STU_1097,74.88,74.64,7.78,76.56,87.48,69.88,77.88,87.97,0,1
STU_1098,81.85,84.73,8.59,74.33,80.25,70.13,24.78,95.13,0,1
STU_1099,80.93,80.41,7.93,79.23,82.81,78.34,37.3,83.36,0,1
STU_1100,85.7,85.5,8.94,76.65,72.05,83.34,55.03,95.1,0,1
STU_1101,93.28,89.58,9.36,70.62,82.74,77.07,38.87,85.95,0,1
STU_1102,83.12,84.6,8.1,76.6,66.72,64.26,63.47,95.08,0,1
STU_1103,78.96,82.05,8.3,90.68,74.9,82.52,39.25,93.88,0,1
STU_1104,84.37,82.69,8.48,77.98,66.06,69.79,74.22,94.63,0,0
STU_1105,81.75,83.78,9.06,93.14,73.1,83.01,47.15,93.11,0,1
STU_1106,81.89,85.06,8.38,69.04,66.08,71.57,88.57,89.04,0,1
STU_1107,85.21,84.38,7.73,83.04,76.77,74.23,46.33,90.83,3,0
STU_1108,84.83,87.32,8.71,81.71,77.33,76.02,40.37,86.48,0,1
STU_1109,75.5,72.89,8.39,85.15,53.06,65.06,65.78,87.27,0,1
STU_1110,69.64,74.98,8.95,63.34,73.01,68.69,62.69,87.99,0,0
STU_1111,94.19,96.75,8.74,82.68,75.07,67.86,75.45,79.22,0,1
STU_1112,80.51,86.09,8.07,74.41,91.58,77.73,54.99,92.4,0,1
STU_1113,94.03,85.42,7.74,84.02,71.25,90.72,55.79,90.51,2,0
STU_1114,93.25,78.55,8.22,78.42,63.1,63.15,76.31,90.53,0,0
STU_1115,85.28,79.42,8.92,71.06,70.46,66.63,59.35,91.92,1,1
STU_1116,75.0,76.77,7.61,71.33,81.61,72.85,90.57,90.67,2,0
STU_1117,77.32,75.31,8.56,80.79,70.8,56.05,70.2,85.61,0,0
STU_1118,84.67,80.11,8.26,79.9,57.15,71.43,44.42,84.38,0,0
STU_1119,79.19,76.9,8.42,75.62,79.78,71.74,91.92,93.2,0,1
STU_1120,82.43,78.11,7.99,79.86,81.98,70.14,46.13,96.7,0,1
STU_1121,69.92,71.8,7.29,78.18,73.03,59.86,50.4,94.12,1,0
STU_1122,89.38,84.64,8.47,73.79,70.74,72.1,35.86,88.3,1,0
STU_1123,83.36,80.97,8.91,73.13,77.81,80.65,60.53,83.21,0,1
STU_1124,80.0,78.13,8.31,77.3,82.92,66.86,55.78,92.94,0,1
STU_1125,95.67,90.8,9.39,67.4,63.16,74.13,66.05,95.55,0,1
STU_1126,79.5,82.95,8.8,77.86,77.55,75.48,45.22,85.41,0,1
STU_1127,95.21,93.07,9.4,71.92,64.39,61.42,49.06,92.63,0,1
STU_1128,76.68,78.2,9.08,82.91,57.64,57.84,44.29,83.99,1,0
STU_1129,74.63,70.97,8.15,65.28,37.48,54.76,54.24,88.09,0,0
STU_1130,91.25,90.02,9.0,87.78,57.83,83.29,38.11,98.5,1,0
STU_1131,79.12,83.74,7.56,64.17,77.78,66.72,47.98,95.8,0,0
STU_1132,87.61,84.22,8.83,73.09,74.29,66.87,80.31,92.41,1,1
STU_1133,90.44,85.86,7.94,82.81,49.41,82.73,71.86,94.17,2,1
STU_1134,90.72,86.61,8.66,74.83,90.19,85.83,61.03,89.21,2,0
STU_1135,80.45,75.01,7.1,68.29,55.0,65.89,32.22,93.82,0,0
STU_1136,85.78,82.71,8.2,68.39,48.46,74.63,43.19,87.14,0,1
STU_1137,86.26,80.24,7.33,63.07,78.45,56.04,69.01,88.81,0,0
STU_1138,69.6,67.02,7.49,69.91,81.45,78.5,40.92,90.24,0,1
STU_1139,85.38,82.64,8.55,72.39,52.92,66.17,44.71,84.61,3,0
STU_1140,89.95,83.19,8.71,80.23,67.03,69.56,67.79,89.45,0,0
STU_1141,90.62,93.18,8.69,75.27,61.81,73.76,62.8,93.14,0,1
STU_1142,88.95,87.39,8.77,78.56,71.71,66.43,50.16,86.55,1,1
STU_1143,86.22,77.46,8.7,69.82,77.42,67.66,91.84,86.58,0,1
STU_1144,90.06,91.3,8.21,72.9,71.03,71.01,47.22,89.16,0,1
STU_1145,81.36,77.48,8.24,71.36,72.72,77.83,66.17,83.81,0,1
STU_1146,94.32,90.99,8.96,80.0,64.7,81.52,68.37,79.93,0,1
STU_1147,90.36,88.17,8.27,71.56,78.91,75.74,53.17,89.45,1,0
STU_1148,82.51,79.37,8.09,86.07,62.99,74.0,28.94,96.43,2,0
STU_1149,82.72,84.08,8.53,83.31,69.91,72.79,57.36,83.97,0,1
STU_1150,84.61,84.56,8.35,76.56,79.47,64.5,38.9,93.54,0,1
STU_1151,87.12,85.7,8.92,75.67,61.18,70.88,30.72,86.08,0,1
STU_1152,90.91,84.48,8.68,72.02,56.39,64.57,70.09,84.94,0,0
STU_1153,94.59,89.8,8.7,66.97,60.31,70.66,47.36,82.92,0,1
STU_1154,81.41,90.45,8.92,67.2,68.14,69.14,75.89,97.08,1,1
STU_1155,81.21,82.49,8.59,82.45,53.13,70.03,86.78,89.99,0,1
STU_1156,79.34,89.68,8.29,71.24,86.65,60.23,78.66,92.65,0,0
STU_1157,79.12,82.08,8.24,72.95,69.1,71.13,58.97,95.85,0,0
STU_1158,86.92,87.47,8.49,80.67,75.71,87.24,78.32,84.52,0,1
STU_1159,81.85,84.08,8.38,74.28,72.22,78.01,35.03,94.42,0,1
STU_1160,81.72,80.72,8.1,67.71,57.77,71.56,33.77,83.74,0,0
STU_1161,82.26,75.56,8.19,64.19,78.73,63.37,57.7,88.2,0,0
STU_1162,80.74,83.41,8.6,71.45,57.24,82.16,69.22,83.91,0,0
STU_1163,77.89,83.28,8.62,70.36,70.22,75.04,62.49,92.24,0,1
STU_1164,94.72,88.7,8.0,66.9,71.95,76.96,62.29,95.01,2,0
STU_1165,80.12,80.54,7.77,69.2,65.3,68.37,83.48,83.97,0,0
STU_1166,86.44,87.32,7.62,74.45,59.8,77.92,62.46,81.53,0,1
STU_1167,84.6,82.68,7.92,67.83,59.43,62.15,37.69,84.89,0,1
STU_1168,85.69,82.5,8.8,63.85,74.63,74.43,67.34,82.54,0,1
STU_1169,93.16,88.43,8.36,78.86,51.13,70.56,42.03,88.17,0,1
STU_1170,80.6,82.4,8.47,78.01,66.18,81.7,74.19,93.01,1,1
STU_1171,76.67,68.54,7.44,78.61,64.95,65.49,63.09,86.61,1,0
STU_1172,84.41,83.62,8.84,82.26,46.08,77.89,72.83,84.92,0,1
STU_1173,75.69,82.36,8.61,70.29,54.3,76.66,68.75,93.94,0,0
STU_1174,78.05,81.31,8.0,73.25,48.06,70.04,79.14,92.87,0,0
STU_1175,96.49,93.04,8.53,77.61,69.72,69.66,38.82,84.82,0,1
STU_1176,88.48,88.89,8.64,75.5,70.89,77.63,29.11,83.01,0,1
STU_1177,78.9,81.69,8.15,72.66,72.65,71.5,78.24,86.48,2,0
STU_1178,91.44,94.47,9.29,63.23,78.11,71.38,36.13,83.0,0,1
STU_1179,78.11,84.74,7.85,81.09,72.06,57.58,46.24,92.3,1,0
STU_1180,88.88,85.33,8.6,86.14,49.88,76.42,60.13,97.29,0,1
STU_1181,84.07,84.23,8.75,80.81,70.76,78.44,69.53,93.23,0,1
STU_1182,89.43,79.14,8.27,74.49,74.96,79.66,70.79,93.43,0,1
STU_1183,89.3,91.85,8.24,71.8,75.74,68.41,38.92,84.31,1,0
STU_1184,86.1,84.68,8.99,81.75,48.08,79.5,77.66,90.33,0,1
STU_1185,80.46,80.2,7.54,73.23,62.12,76.04,65.95,92.46,0,0
STU_1186,77.86,79.93,8.5,73.8,69.7,84.56,45.66,93.77,2,0
STU_1187,85.58,82.87,8.37,77.22,55.16,73.31,50.84,85.72,2,0
STU_1188,70.31,77.74,8.14,76.54,65.27,86.89,86.74,92.18,2,0
STU_1189,84.0,82.31,8.12,85.14,49.4,80.37,47.91,93.14,0,0
STU_1190,84.52,86.97,9.1,85.81,79.16,64.92,74.37,95.45,3,0
STU_1191,84.17,78.86,7.8,75.1,63.53,71.5,56.23,93.49,1,0
STU_1192,83.88,83.15,8.63,65.58,68.61,70.38,55.18,87.16,2,0
STU_1193,84.8,82.57,7.8,80.77,62.9,76.31,59.4,90.32,3,0
STU_1194,75.72,76.47,8.12,75.68,61.66,63.54,49.1,97.4,3,0
STU_1195,85.67,86.56,8.82,67.08,79.87,69.56,67.28,95.02,0,1
STU_1196,83.18,81.06,7.92,74.43,72.65,67.5,50.29,96.13,0,1
STU_1197,88.04,83.66,7.74,80.07,85.68,76.8,66.43,84.07,1,0
STU_1198,85.56,83.05,7.92,77.44,63.01,73.55,70.26,92.48,0,1
STU_1199,85.94,89.16,8.29,73.8,46.78,61.71,40.37,89.48,0,0
STU_1200,81.63,83.61,9.03,96.91,78.98,84.0,54.73,93.35,1,1
STU_1201,82.54,85.77,8.46,71.86,62.34,71.02,44.12,82.46,0,1
STU_1202,95.03,93.32,8.89,75.78,66.91,60.91,61.86,85.36,0,1
STU_1203,96.12,90.52,9.18,73.65,80.23,61.61,54.16,86.49,0,1
STU_1204,92.47,92.55,8.92,76.35,75.24,72.39,41.89,90.99,0,0
STU_1205,85.8,82.8,8.25,66.34,84.06,59.03,61.92,99.24,1,1
STU_1206,83.74,81.83,8.2,88.5,54.38,90.17,75.52,96.62,3,0
STU_1207,75.13,75.09,8.08,58.37,90.13,59.25,73.33,85.62,1,0
STU_1208,87.39,82.18,8.67,73.31,43.76,81.05,62.48,70.05,1,0
STU_1209,80.17,84.53,7.89,61.0,72.6,69.47,76.28,90.45,0,1
STU_1210,74.15,71.81,7.92,58.02,59.2,73.4,23.63,89.98,0,1
STU_1211,85.29,86.34,9.17,80.61,72.31,72.49,46.05,91.52,1,1
STU_1212,95.83,94.76,8.66,84.46,57.01,78.52,39.62,88.19,1,0
STU_1213,75.46,78.7,8.15,70.85,63.97,68.63,47.79,94.15,0,0
STU_1214,85.66,87.57,8.64,75.04,75.4,72.57,41.71,97.5,2,0
STU_1215,85.0,84.6,8.08,86.84,78.43,80.87,29.5,95.36,3,0
STU_1216,86.09,83.74,8.14,87.98,72.99,76.39,31.98,95.8,0,1
STU_1217,88.86,88.97,8.08,78.94,55.33,74.1,57.99,92.33,0,0
STU_1218,78.89,77.11,8.74,87.38,72.03,75.4,59.48,93.32,0,1
STU_1219,82.02,81.47,8.32,77.59,66.87,74.69,75.92,85.66,0,1
STU_1220,87.28,91.05,8.82,62.47,67.37,61.9,83.41,92.95,2,0
STU_1221,78.64,81.27,8.11,86.42,75.2,92.16,58.96,87.96,2,0
STU_1222,77.6,78.86,8.43,82.45,52.42,84.33,59.06,98.34,0,1
STU_1223,85.17,87.73,8.36,77.64,52.43,61.78,75.72,92.48,1,0
STU_1224,82.68,81.83,7.9,77.13,66.16,64.78,38.1,87.16,1,0
STU_1225,84.29,81.37,7.96,90.93,68.04,79.17,75.17,87.17,0,1
STU_1226,91.53,88.66,8.73,71.54,74.29,79.33,59.27,92.69,0,1
STU_1227,88.74,87.68,9.01,85.1,72.13,85.08,58.33,88.49,2,0
STU_1228,82.4,80.41,8.19,76.05,91.85,56.56,38.17,93.1,1,0
STU_1229,85.43,91.23,9.47,84.07,47.28,73.62,40.21,96.18,0,1
STU_1230,76.3,71.85,8.43,76.61,63.15,74.4,66.34,85.25,0,0
STU_1231,72.4,80.48,8.09,72.01,75.6,60.46,48.86,96.68,0,0
STU_1232,84.17,78.73,8.62,74.98,55.61,75.92,52.14,80.01,1,0
STU_1233,87.64,90.77,8.73,72.61,45.88,66.25,50.66,93.39,0,1
STU_1234,91.01,93.11,8.78,73.21,60.53,68.25,53.22,93.06,0,1
STU_1235,91.49,86.58,8.48,66.49,60.23,62.74,51.79,93.04,1,1
STU_1236,91.48,86.48,8.95,73.75,47.63,72.1,55.63,87.38,0,1
STU_1237,89.73,87.84,8.64,70.73,54.2,74.05,31.94,91.44,0,0
STU_1238,81.7,85.57,8.16,85.39,75.73,71.4,53.87,90.95,2,0
STU_1239,80.29,74.36,8.05,64.77,69.26,69.84,75.58,80.03,0,0
STU_1240,90.6,90.8,8.84,76.03,90.76,79.0,69.44,96.45,0,1
STU_1241,85.45,83.1,8.61,72.56,62.51,55.75,81.75,93.87,0,0
STU_1242,90.1,83.58,8.42,63.27,84.12,70.71,63.35,90.89,0,1
STU_1243,86.64,83.03,8.31,61.05,62.78,62.37,68.02,88.51,0,0
STU_1244,81.89,82.25,8.44,77.76,68.32,70.7,68.41,87.64,0,0
STU_1245,85.94,85.0,8.07,74.11,60.66,72.45,32.02,87.01,0,1
STU_1246,79.03,75.16,7.17,73.74,80.86,71.61,70.63,96.17,0,0
STU_1247,92.91,92.31,9.36,70.64,74.96,77.0,51.28,91.61,0,1
STU_1248,81.51,74.91,7.71,73.59,60.09,72.84,41.75,85.91,0,1
STU_1249,87.18,84.28,7.97,83.55,63.56,76.15,97.76,92.86,0,1
STU_1250,81.54,83.62,8.64,67.77,71.39,52.98,33.8,93.74,0,1
STU_1251,92.55,87.95,8.11,76.93,70.27,67.34,53.91,85.44,0,0
STU_1252,72.64,78.06,8.62,82.94,47.4,68.2,62.68,86.42,0,0
STU_1253,78.44,73.83,8.03,76.23,77.7,64.42,40.47,88.95,0,1
STU_1254,88.03,86.34,9.1,60.77,54.64,47.92,50.49,90.67,0,1
STU_1255,84.62,78.3,7.78,75.43,41.23,68.98,67.33,92.06,1,0
STU_1256,79.35,80.47,8.24,75.76,78.69,80.32,40.23,89.42,0,1
STU_1257,88.17,83.07,8.35,91.77,45.08,79.47,80.94,84.59,0,0
STU_1258,83.38,82.77,8.25,81.59,60.05,70.03,72.27,87.65,0,1
STU_1259,82.07,81.52,7.97,67.79,69.15,72.63,56.44,91.74,0,0
STU_1260,81.36,77.33,8.22,84.0,70.45,84.37,37.49,87.07,0,0
STU_1261,90.29,87.13,9.0,73.21,53.96,60.8,48.06,89.93,0,0
STU_1262,87.18,81.13,8.32,69.0,86.93,71.91,70.67,85.45,1,0
STU_1263,88.16,89.27,8.64,74.33,69.76,81.39,84.34,95.99,1,1
STU_1264,84.92,86.51,8.41,88.6,62.7,70.33,35.2,87.21,0,1
STU_1265,85.43,88.42,8.84,67.45,80.08,69.18,77.32,94.61,0,1
STU_1266,77.84,78.65,8.1,77.8,79.25,60.76,47.05,93.1,0,0
STU_1267,92.64,94.98,9.03,87.47,77.56,73.03,59.89,92.1,1,1
STU_1268,80.82,74.94,7.9,69.85,70.89,75.7,79.44,92.35,0,0
STU_1269,93.5,93.75,9.17,90.53,54.56,82.4,72.22,84.94,0,1
STU_1270,84.65,83.71,8.41,83.83,67.44,78.72,31.57,95.96,0,1
STU_1271,88.57,85.9,8.69,79.69,67.25,62.74,68.03,94.44,2,0
STU_1272,81.79,87.2,8.55,76.06,84.82,65.06,54.68,88.6,0,1
STU_1273,70.6,75.98,7.91,76.92,61.06,85.55,66.56,94.44,0,1
STU_1274,83.68,84.91,8.93,73.34,55.86,77.25,54.04,87.89,0,1
STU_1275,80.19,83.49,8.25,79.21,46.95,79.02,73.23,78.61,0,1
STU_1276,81.66,78.68,8.15,84.72,54.55,79.1,85.15,89.56,0,0
STU_1277,71.78,76.55,7.4,61.42,56.52,53.64,71.67,83.68,1,0
STU_1278,89.25,83.58,8.05,81.56,61.4,73.46,82.51,90.8,2,1
STU_1279,93.86,88.28,8.71,72.88,63.61,78.45,75.56,90.85,1,0
STU_1280,95.97,88.17,8.82,80.06,62.67,67.23,37.19,90.36,0,1
STU_1281,85.52,88.41,8.9,66.38,65.28,59.15,66.4,82.09,1,0
STU_1282,80.78,76.64,8.54,80.03,82.04,88.06,63.23,100.0,2,0
STU_1283,91.37,81.62,8.9,76.12,82.97,67.41,78.44,78.3,0,1
STU_1284,83.84,83.54,8.52,74.47,71.05,73.14,78.23,91.2,0,1
STU_1285,87.99,88.87,8.57,73.3,64.9,80.15,57.95,82.57,2,0
STU_1286,82.16,79.36,8.31,80.14,53.87,71.27,40.24,86.16,0,1
STU_1287,78.89,77.37,8.25,71.09,52.52,64.3,62.69,88.69,0,1
STU_1288,85.09,91.77,9.41,77.48,54.2,57.93,77.03,91.47,0,0
STU_1289,88.84,85.2,8.36,84.15,66.92,78.86,51.03,92.93,0,1
STU_1290,84.81,83.23,8.15,66.81,86.93,76.85,67.86,90.13,1,0
STU_1291,88.36,82.51,9.24,85.86,55.17,82.64,52.02,92.21,0,1
STU_1292,89.49,86.57,8.81,66.37,72.5,79.24,39.58,88.92,0,0
STU_1293,85.16,84.13,8.7,73.8,72.53,80.29,46.88,94.42,0,1
STU_1294,89.87,92.8,8.67,81.01,93.53,74.08,48.92,91.21,1,1
STU_1295,88.4,82.77,8.39,81.71,96.64,64.48,51.16,98.5,1,0
STU_1296,84.37,78.13,8.27,74.69,93.37,75.65,32.22,86.37,0,1
STU_1297,93.24,91.38,8.07,56.03,63.66,53.88,73.42,92.16,0,0
STU_1298,73.81,73.32,7.59,75.91,70.43,80.62,76.19,92.49,0,1
STU_1299,79.9,86.55,8.85,66.07,60.2,60.71,51.2,94.75,0,1
STU_1300,88.81,81.14,7.96,72.99,54.49,72.67,44.68,92.17,0,1
STU_1301,94.53,87.25,8.92,87.97,68.19,81.89,76.19,88.6,1,0
STU_1302,83.14,90.87,8.91,75.99,70.33,80.28,59.88,91.72,0,1
STU_1303,85.35,85.8,8.57,76.28,74.19,65.9,67.86,86.53,0,0
STU_1304,78.09,77.6,8.5,78.35,86.72,73.12,57.35,89.81,1,1
STU_1305,97.91,94.57,8.96,75.84,77.33,78.66,41.8,91.87,0,1
STU_1306,90.13,88.89,9.0,89.19,62.36,77.07,71.09,81.38,0,1
STU_1307,71.77,74.71,7.43,72.1,60.28,79.02,53.68,91.62,0,0
STU_1308,81.92,80.4,8.46,65.87,77.61,65.32,79.91,92.89,0,1
STU_1309,92.19,87.78,8.29,80.46,66.15,68.04,24.99,91.79,3,0
STU_1310,80.17,82.16,7.87,91.03,60.13,92.04,85.06,90.89,1,0
STU_1311,85.6,87.12,8.01,69.05,75.82,70.92,26.02,87.44,0,0
STU_1312,72.19,76.64,7.84,66.41,56.43,77.68,69.62,93.5,0,0
STU_1313,87.3,88.89,8.0,75.82,59.89,84.04,47.95,85.89,0,1
STU_1314,84.85,81.12,8.75,85.61,72.75,80.88,76.59,90.72,1,1
STU_1315,87.98,84.33,8.43,77.6,57.32,74.25,86.12,89.33,3,0
STU_1316,86.38,84.32,8.6,74.63,69.88,80.68,38.36,80.95,0,1
STU_1317,91.67,89.41,8.78,70.46,85.76,66.05,58.03,95.55,2,0
STU_1318,93.29,87.76,8.81,75.96,61.44,85.53,62.02,94.51,0,1
STU_1319,71.51,74.5,7.83,72.93,49.01,72.52,32.73,91.98,0,0
STU_1320,85.45,81.11,8.53,61.76,58.07,60.06,57.39,95.36,0,0
STU_1321,91.97,92.86,8.9,70.26,46.28,64.7,71.66,87.15,1,0
STU_1322,82.75,74.14,7.53,77.43,72.04,77.06,60.58,88.72,0,0
STU_1323,94.5,90.01,9.18,64.33,55.63,73.07,78.2,94.63,2,0
STU_1324,82.72,88.95,8.29,80.66,89.25,75.95,61.65,92.56,0,1
STU_1325,88.01,84.79,8.49,88.58,65.32,85.54,72.15,93.43,1,1
STU_1326,94.12,92.71,8.6,67.07,89.29,71.51,60.98,95.33,0,1
STU_1327,75.72,76.33,8.88,77.91,78.89,71.83,70.42,94.8,0,0
STU_1328,84.11,79.26,7.65,78.92,67.23,79.48,68.16,84.48,0,0
